"data/ca4663.tsp"
"data/dj38.tsp"
==================================================
File: "dj38.tsp" (Vertices: 38)
Running Genetic_PMX with 100 iterations...
  Iteracja 46/100 | Cost: 9613 | Time: 966 ms
  Iteracja 47/100 | Cost: 9461 | Time: 1079 ms
  Iteracja 48/100 | Cost: 9395 | Time: 1111 ms
  Iteracja 49/100 | Cost: 9664 | Time: 870 ms
  Iteracja 50/100 | Cost: 9504 | Time: 1216 ms
  Iteracja 51/100 | Cost: 9421 | Time: 750 ms
  Iteracja 52/100 | Cost: 9420 | Time: 1821 ms
  Iteracja 53/100 | Cost: 9494 | Time: 1086 ms
  Iteracja 54/100 | Cost: 9509 | Time: 1254 ms
  Iteracja 55/100 | Cost: 9575 | Time: 1252 ms
  Iteracja 56/100 | Cost: 9678 | Time: 936 ms
  Iteracja 57/100 | Cost: 9613 | Time: 1094 ms
  Iteracja 58/100 | Cost: 9498 | Time: 1264 ms
  Iteracja 59/100 | Cost: 9504 | Time: 1384 ms
  Iteracja 60/100 | Cost: 9531 | Time: 876 ms
  Iteracja 61/100 | Cost: 9725 | Time: 875 ms
  Iteracja 62/100 | Cost: 9626 | Time: 1220 ms
  Iteracja 63/100 | Cost: 9489 | Time: 1224 ms
  Iteracja 64/100 | Cost: 9505 | Time: 1326 ms
  Iteracja 65/100 | Cost: 9496 | Time: 1063 ms
  Iteracja 66/100 | Cost: 9551 | Time: 1194 ms
  Iteracja 67/100 | Cost: 9402 | Time: 1403 ms
  Iteracja 68/100 | Cost: 9487 | Time: 1261 ms
  Iteracja 69/100 | Cost: 9573 | Time: 974 ms
  Iteracja 70/100 | Cost: 9454 | Time: 1120 ms
  Iteracja 71/100 | Cost: 9687 | Time: 1062 ms
  Iteracja 72/100 | Cost: 9452 | Time: 1017 ms
  Iteracja 73/100 | Cost: 9439 | Time: 1140 ms
  Iteracja 74/100 | Cost: 9437 | Time: 933 ms
  Iteracja 75/100 | Cost: 9516 | Time: 998 ms
  Iteracja 76/100 | Cost: 9465 | Time: 1213 ms
  Iteracja 77/100 | Cost: 9474 | Time: 1218 ms
  Iteracja 78/100 | Cost: 9410 | Time: 1126 ms
  Iteracja 79/100 | Cost: 9722 | Time: 802 ms
  Iteracja 80/100 | Cost: 9352 | Time: 1132 ms
  Iteracja 81/100 | Cost: 9603 | Time: 747 ms
  Iteracja 82/100 | Cost: 9545 | Time: 1064 ms
  Iteracja 83/100 | Cost: 9397 | Time: 1300 ms
